id	title	description	link	image_link	brand	condition	availability	price	short_description
337	Aviator Sunglasses	Gunmetal frame with crystal gradient polycarbonate lenses in grey. 	http://104.236.187.180/magento/aviator-sunglasses.html	http://104.236.187.180/magento/media/catalog/product/a/c/ace000a_1.jpg	original	new	in stock	295,00 USD	A timeless accessory staple, the unmistakable teardrop lenses of our Aviator sunglasses appeal to everyone from suits to rock stars to citizens of the world.
338	Jackie O Round Sunglasses	Acetate frame. Polycarbonate lenses.	http://104.236.187.180/magento/jackie-o-round-sunglasses.html	http://104.236.187.180/magento/media/catalog/product/a/c/ace001_1.jpg	original	new	in stock	225,00 USD	These distinct, feminine frames balance a classic Jackie-O styling with a modern look. 
339	Retro Chic Eyeglasses	Acetate frame. Polycarbonate lenses.	http://104.236.187.180/magento/retro-chic-eyeglasses.html	http://104.236.187.180/magento/media/catalog/product/a/c/ace002a_1.jpg	original	new	in stock	295,00 USD	Madison Island Retro chic lenses are stylish on both men and women.
370	Isla Crossbody Handbag	Pebbled leather. Contrast stitching. Fold over flap with Fasten closure. Crossbody strap. 6" x 8" x 0.75".	http://104.236.187.180/magento/isla-crossbody-handbag.html	http://104.236.187.180/magento/media/catalog/product/a/b/abl000_4.jpg	original	new	in stock	290,00 USD	Form follows function with this decidedly chic mini bag. 
371	Florentine Satchel Handbag	Leather. Silver hardware. Inside open pocket. Fasten closure, fabric lining. Handles with 7" drop. 14" x 3.5" x 9". Imported.	http://104.236.187.180/magento/florentine-satchel-handbag.html	http://104.236.187.180/magento/media/catalog/product/a/b/abl001_1.jpg	original	new	out of stock	625,00 USD	Carry it all with the spacious and stylishFlorentine Satchel.
372	Flatiron Tablet Sleeve	Pebble textured leather tabled case. Top zip closure. Exterior zipper pocket. Fully lined with back wall slip pocket. 8.75" x 11" x .5". Imported.	http://104.236.187.180/magento/leather-tablet-sleeve.html	http://104.236.187.180/magento/media/catalog/product/a/b/abl002b_1.jpg	original	new	in stock	150,00 USD	Protect your tablet with our minimal tablet sleeve.
373	Broad St. Flapover Briefcase	Leather, with flap closure. Padded carrying handles. Main compartment has padded laptop pocket, file section and organizer panel. Quick access back pocket. Padded adjustable shoulder strap. 16" x 12" x 3.5". Domestic.	http://104.236.187.180/magento/flapover-briefcase.html	http://104.236.187.180/magento/media/catalog/product/a/b/abl003b_1.jpg	original	new	in stock	570,00 USD	Make an impression at overseas business meetings.
374	Houston Travel Wallet	Leather. 4" x 6.5" x 0.5"	http://104.236.187.180/magento/rolls-travel-wallet.html	http://104.236.187.180/magento/media/catalog/product/a/b/abl004a_1.jpg	original	new	in stock	210,00 USD	Just the right size for your passport, tickets and other essentials, this leather wallet is the perfect travel carry all.
375	Roller Suitcase	Zip closure. Water resistant hard polycarbonate shell. All direction spinner wheels. Retractable plastic handle. Cross strap interior. 29" x 20" x 13".	http://104.236.187.180/magento/roller-suitcase.html	http://104.236.187.180/magento/media/catalog/product/a/b/abl005a_1.jpg	original	new	in stock	650,00 USD	No more baggage claim mixups! Our Roller in bold cobalt blue is sure to standout in a sea of suitcases.
378	Body Wash with Lemon Flower Extract and Aloe Vera	Lemon flower and Aloe Vera extract. Super moisturizing. 	http://104.236.187.180/magento/body-wash-with-lemon-flower-extract-and-aloe-vera.html	http://104.236.187.180/magento/media/catalog/product/h/d/hdb000_1.jpg	original	new	in stock	28,00 USD	A rich lather, infused with lemon flower awakens the senses.
